filename,runtime
mmp_all_SM_0,0.001879
mmp_all_SM_1,0.0017415
mmp_all_SM_2,0.0010545
mmp_all_SM_3,0.0007715
mmp_all_SM_4,0.000803
mmp_all_SM_5,0.000812
mmp_all_SM_6,0.0006165
mmp_all_SM_7,0.000745
mmp_all_SM_8,0.0006905
mmp_all_SM_9,0.000776
mmp_all_SM_10,0.0014415
mmp_all_SM_11,0.001812
mmp_all_SM_12,0.0017945
mmp_all_SM_13,0.0008745
mmp_all_SM_14,0.0008735
mmp_all_SM_15,0.000743
mmp_all_SM_16,0.0007935
mmp_all_SM_17,0.000662
mmp_all_SM_18,0.000746
mmp_all_SM_19,0.000716
mmp_all_SM_20,0.0007545
mmp_all_SM_21,0.0013355
mmp_all_SM_22,0.0017895
mmp_all_SM_23,0.001644
mmp_all_SM_24,0.0009325
mmp_all_SM_25,0.000826
mmp_all_SM_26,0.0007795
mmp_all_SM_27,0.000799
mmp_all_SM_28,0.0006295
mmp_all_SM_29,0.0006855
mmp_all_SM_30,0.0006225
mmp_all_SM_31,0.0007935
mmp_all_SM_32,0.001596
mmp_all_SM_33,0.001801
mmp_all_SM_34,0.00162
mmp_all_SM_35,0.000849
mmp_all_SM_36,0.000855
mmp_all_SM_37,0.000778
mmp_all_SM_38,0.00079
mmp_all_SM_39,0.0007345
mmp_all_SM_40,0.0007045
mmp_all_SM_41,0.000859
mmp_all_SM_42,0.000667
mmp_all_SM_43,0.001281
mmp_all_SM_44,0.001939
mmp_all_SM_45,0.0017545
mmp_all_SM_46,0.0008965
mmp_all_SM_47,0.000802
mmp_all_SM_48,0.000831
mmp_all_SM_49,0.0007615
mmp_all_SM_50,0.0008315
mmp_all_SM_51,0.000664
mmp_all_SM_52,0.000736
mmp_all_SM_53,0.0007095
mmp_all_SM_54,0.00191
mmp_all_SM_55,0.001792
mmp_all_SM_56,0.001592
mmp_all_SM_57,0.0008955
mmp_all_SM_58,0.000988
mmp_all_SM_59,0.00085
mmp_all_SM_60,0.000881
mmp_all_SM_61,0.000823
mmp_all_SM_62,0.0006625
mmp_all_SM_63,0.000704
mmp_all_SM_64,0.0008295
mmp_all_SM_65,0.0012015
mmp_all_SM_66,0.0020165
mmp_all_SM_67,0.0016545
mmp_all_SM_68,0.0009955
mmp_all_SM_69,0.0009375
mmp_all_SM_70,0.0007735
mmp_all_SM_71,0.0007675
mmp_all_SM_72,0.0007655
mmp_all_SM_73,0.00072
mmp_all_SM_74,0.000656
mmp_all_SM_75,0.0011095
mmp_all_SM_76,0.0033035
mmp_all_SM_77,0.0019115
mmp_all_SM_78,0.001613
mmp_all_SM_79,0.0012195
mmp_all_SM_80,0.001011
mmp_all_SM_81,0.0007095
mmp_all_SM_82,0.0008665
mmp_all_SM_83,0.0008585
mmp_all_SM_84,0.0006665
mmp_all_SM_85,0.000752
mmp_all_SM_86,0.000621
mmp_all_SM_87,0.001421
mmp_all_SM_88,0.0018375
mmp_all_SM_89,0.001657
mmp_all_SM_90,0.0009055
mmp_all_SM_91,0.0009135
mmp_all_SM_92,0.000858
mmp_all_SM_93,0.0007065
mmp_all_SM_94,0.000795
mmp_all_SM_95,0.0007185
mmp_all_SM_96,0.000759
mmp_all_SM_97,0.000728
